127.0.0.1, 2019-09-13 09:15:54, GET, /favicon.ico, HTTP/1.1, 400, 0.000288
127.0.0.1, 2019-09-13 09:16:02, GET, /locadora/, HTTP/1.1, 200, 0.028255
127.0.0.1, 2019-09-13 09:16:02, GET, /locadora/static/images/background.jpg, HTTP/1.1, 404, 0.000358
127.0.0.1, 2019-09-13 09:17:10, GET, /locadora/default/novo_filme, HTTP/1.1, 200, 0.105574
127.0.0.1, 2019-09-13 09:26:13, GET, /locadora/default/novo_filme, HTTP/1.1, 200, 0.061095
127.0.0.1, 2019-09-13 09:26:14, GET, /locadora/static/images/favicon.ico, HTTP/1.1, 200, 0.001384
127.0.0.1, 2019-09-13 09:26:14, GET, /locadora/default/novo_filme, HTTP/1.1, 200, 0.058397
127.0.0.1, 2019-09-13 09:26:15, GET, /locadora/default/novo_filme, HTTP/1.1, 200, 0.054668
127.0.0.1, 2019-09-13 09:26:16, GET, /locadora/static/images/favicon.ico, HTTP/1.1, 200, 0.000621
127.0.0.1, 2019-09-13 09:30:49, POST, /locadora/default/novo_filme, HTTP/1.1, 303, 0.256696
127.0.0.1, 2019-09-13 09:30:49, GET, /locadora/default/novo_filme, HTTP/1.1, 200, 0.020046
127.0.0.1, 2019-09-13 09:32:41, GET, /locadora/default/novo_filme, HTTP/1.1, 200, 0.021941
127.0.0.1, 2019-09-13 09:32:41, GET, /locadora/static/images/favicon.ico, HTTP/1.1, 200, 0.000566
127.0.0.1, 2019-09-13 09:34:14, POST, /locadora/default/novo_filme, HTTP/1.1, 303, 0.248892
127.0.0.1, 2019-09-13 09:34:14, GET, /locadora/default/novo_filme, HTTP/1.1, 200, 0.023239
127.0.0.1, 2019-09-13 09:45:27, GET, /locadora/default/novo_filme, HTTP/1.1, 200, 0.026401
127.0.0.1, 2019-09-13 09:45:28, GET, /locadora/static/images/favicon.ico, HTTP/1.1, 200, 0.002976
127.0.0.1, 2019-09-13 10:17:14, GET, /locadora/appadmin, HTTP/1.1, 500, 0.172926
127.0.0.1, 2019-09-13 10:17:14, GET, /favicon.ico, HTTP/1.1, 400, 0.001491
127.0.0.1, 2019-09-13 10:17:32, GET, /locadora/default/, HTTP/1.1, 500, 0.046933
127.0.0.1, 2019-09-13 10:17:32, GET, /favicon.ico, HTTP/1.1, 400, 0.000405
